,loss,loss,accuracy,accuracy,precision,precision,recall,recall,f1,f1
,train,valid,train,valid,train,valid,train,valid,train,valid
epoch-1,0.09344314171389602,0.06563839499096288,0.9296875,0.9803155637254902,0.9578125,0.9924479166666671,0.9296875,0.9803155637254902,0.9345337301587302,0.9801377748068925
epoch-2,0.013405736786086829,0.002653443917096484,0.9984375,0.9993872549019608,1.0,0.9998340482026145,0.9984375,0.9993872549019608,0.9990625,0.9994995915032678
epoch-3,0.008624204905179808,0.0011246672818788228,1.0,0.9997702205882353,1.0,0.9998851102941176,1.0,0.9997702205882353,1.0,0.9997242647058825
epoch-4,0.002146183655670009,0.0014627874529167164,0.996875,0.9995404411764706,1.0,0.9998340482026145,0.996875,0.9995404411764706,0.9981060606060606,0.9995710784313725
epoch-5,0.0014140587361147583,0.00024579485113230095,1.0,0.9999234068627451,1.0,0.9999489379084966,1.0,0.9999234068627451,1.0,0.9998927696078431
epoch-6,0.00044964286678494665,0.00013105765710957025,1.0,0.9999234068627451,1.0,0.9999617034313726,1.0,0.9999234068627451,1.0,0.9999285130718953
epoch-7,0.00010596525885881498,0.00021490667271759786,1.0,0.9999234068627451,1.0,1.0,1.0,0.9999234068627451,1.0,0.999954044117647
epoch-8,0.0005463257615718238,0.0012805761252159726,1.0,0.9997702205882353,1.0,0.9999234068627451,1.0,0.9997702205882353,1.0,0.9997753267973856
epoch-9,0.0010128661010081988,0.000303974065133441,1.0,0.9999234068627451,1.0,1.0,1.0,0.9999234068627451,1.0,0.999954044117647
epoch-10,0.0013047763900546536,0.0009529626891583524,1.0,0.9997702205882353,1.0,0.9999106413398692,1.0,0.9997702205882353,1.0,0.9997702205882353
